epoch,accuracy,dice_coefficient,learning_rate,loss,mean_iou,val_accuracy,val_dice_coefficient,val_loss,val_mean_iou
22,0.9879464507102966,0.9561209082603455,4.999999873689376e-05,0.03371381014585495,0.9177812933921814,0.9739577770233154,0.8790125250816345,0.10347414016723633,0.8093823790550232
23,0.987831175327301,0.9545830488204956,4.999999873689376e-05,0.03404119610786438,0.9159318208694458,0.9746938943862915,0.8829522132873535,0.09881629794836044,0.8140623569488525
24,0.9880891442298889,0.9572807550430298,4.999999873689376e-05,0.03311559185385704,0.9195646047592163,0.9742791056632996,0.8852221369743347,0.09896248579025269,0.8158903121948242
25,0.9883145093917847,0.9586788415908813,4.999999873689376e-05,0.0324200801551342,0.9218435883522034,0.9746794700622559,0.8862744569778442,0.09813807159662247,0.8177903294563293
26,0.988244891166687,0.9572170972824097,4.999999873689376e-05,0.032794028520584106,0.9199396967887878,0.9742761850357056,0.8840154409408569,0.09943364560604095,0.8149420022964478
27,0.9884612560272217,0.95805823802948,4.999999873689376e-05,0.032012611627578735,0.9210824370384216,0.9745580554008484,0.8831210136413574,0.10067176073789597,0.8141958117485046
28,0.9885043501853943,0.95843106508255,4.999999873689376e-05,0.03174883499741554,0.9219374656677246,0.9745527505874634,0.8849779963493347,0.09861370921134949,0.8156798481941223
29,0.9886045455932617,0.9595620632171631,4.999999873689376e-05,0.031496331095695496,0.9235588312149048,0.9742313027381897,0.8818380236625671,0.10164149105548859,0.8120325207710266
30,0.9887384176254272,0.9599308371543884,4.999999873689376e-05,0.030744479969143867,0.9242279529571533,0.9740793704986572,0.8836424946784973,0.10178981721401215,0.8138644099235535
31,0.9888415932655334,0.9603806734085083,4.999999873689376e-05,0.0303993858397007,0.9250704646110535,0.9744755625724792,0.8871575593948364,0.09933552145957947,0.8179895877838135
32,0.9889618158340454,0.9606761932373047,4.999999873689376e-05,0.030084598809480667,0.9256302714347839,0.9739390015602112,0.8834227919578552,0.10407009720802307,0.8133729100227356
33,0.9889920353889465,0.9604295492172241,4.999999873689376e-05,0.030053412541747093,0.9252423644065857,0.9742767214775085,0.8832963705062866,0.1022256463766098,0.8135666251182556
34,0.9890651106834412,0.9604928493499756,4.999999873689376e-05,0.02965114824473858,0.92567378282547,0.9746518731117249,0.8862733244895935,0.10048944503068924,0.8174239993095398
35,0.9890760183334351,0.9606063961982727,4.999999873689376e-05,0.029754159972071648,0.9256104230880737,0.9747134447097778,0.8829220533370972,0.10221175104379654,0.8142858147621155
36,0.9892367720603943,0.9618035554885864,4.999999873689376e-05,0.02919352985918522,0.9275874495506287,0.9748932719230652,0.8841333389282227,0.10266713798046112,0.8165445923805237
